CMDLINE python test.py
MEM 431.835938 1691073773.3163
MEM 431.835938 1691073773.4168
MEM 431.835938 1691073773.5173
MEM 431.835938 1691073773.6178
MEM 431.835938 1691073773.7183
MEM 431.835938 1691073773.8189
MEM 431.835938 1691073773.9193
MEM 431.835938 1691073774.0198
MEM 431.835938 1691073774.1205
MEM 431.835938 1691073774.2209
MEM 431.835938 1691073774.3215
MEM 431.835938 1691073774.4219
MEM 431.835938 1691073774.5225
MEM 431.835938 1691073774.6230
MEM 431.835938 1691073774.7234
MEM 431.835938 1691073774.8239
MEM 431.835938 1691073774.9243
MEM 431.835938 1691073775.0248
MEM 431.835938 1691073775.1252
MEM 431.835938 1691073775.2257
MEM 431.835938 1691073775.3261
MEM 431.835938 1691073775.4265
MEM 431.835938 1691073775.5271
MEM 431.835938 1691073775.6275
MEM 431.835938 1691073775.7284
MEM 431.835938 1691073775.8289
MEM 431.835938 1691073775.9293
MEM 431.835938 1691073776.0297
MEM 431.835938 1691073776.1302
MEM 431.835938 1691073776.2307
MEM 431.835938 1691073776.3311
MEM 431.835938 1691073776.4315
MEM 431.835938 1691073776.5319
MEM 431.835938 1691073776.6323
MEM 431.835938 1691073776.7327
MEM 431.835938 1691073776.8331
MEM 431.835938 1691073776.9336
MEM 431.835938 1691073777.0340
MEM 431.835938 1691073777.1344
MEM 431.835938 1691073777.2348
MEM 431.835938 1691073777.3356
MEM 431.835938 1691073777.4366
MEM 431.835938 1691073777.5370
MEM 431.835938 1691073777.6374
MEM 431.835938 1691073777.7379
MEM 431.835938 1691073777.8385
MEM 431.835938 1691073777.9390
MEM 431.835938 1691073778.0397
MEM 431.835938 1691073778.1401
MEM 431.835938 1691073778.2406
MEM 431.835938 1691073778.3410
MEM 431.835938 1691073778.4414
