,current_params,proposed_params,current_log_likelihood,proposed_log_likelihood,step_forward_log_probs,step_backward_log_probs,current_log_posterior,proposed_log_posterior,alpha,accepted
5838,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.10733278730463407, 0.32392044334950254, 83917686302460.05]",-211.66347543009175,-218.78842119363725,-22.41802149859784,-22.360452947162894,-211.66347543009175,-218.78842119363725,0.0008524660172107222,False
5839,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.1062400253118135, 0.3458481652679251, 84580095885348.64]",-211.66347543009175,-216.03093098806363,-21.822052143716167,-21.68938834747594,-211.66347543009175,-216.03093098806363,0.014482825762328337,False
5840,"[0.10089709390075591, 0.3365274497469929, 84563876338588.17]","[0.10099687766395513, 0.3477203069238404, 84283299094119.47]",-211.66347543009175,-211.7822900788383,-21.86113116796837,-21.82751028829204,-211.66347543009175,-211.7822900788383,0.9183343223724622,True
5841,"[0.10099687766395513, 0.3477203069238404, 84283299094119.47]","[0.08286172841430232, 0.323154523963062, 85585359481294.06]",-211.7822900788383,-329.2079804622506,-26.801336230048598,-26.60175580144371,-211.7822900788383,-329.2079804622506,1.228421224852473e-51,False
5842,"[0.10099687766395513, 0.3477203069238404, 84283299094119.47]","[0.10121918821548564, 0.37180881471149774, 84596011622570.98]",-211.7822900788383,-212.06848321046684,-24.074184294675938,-24.187775493907637,-211.7822900788383,-212.06848321046684,0.6704646289738037,True
5843,"[0.10121918821548564, 0.37180881471149774, 84596011622570.98]","[0.09210619568404982, 0.3941770812666143, 84084631568192.28]",-212.06848321046684,-238.80071974717376,-24.115327460056804,-24.3410469506911,-212.06848321046684,-238.80071974717376,1.9602364203336852e-12,False
5844,"[0.10121918821548564, 0.37180881471149774, 84596011622570.98]","[0.0878442453973214, 0.3782923902542309, 83707675964775.44]",-212.06848321046684,-272.0425247634182,-22.630491904697536,-22.730956866877985,-212.06848321046684,-272.0425247634182,8.127805782714175e-27,False
5845,"[0.10121918821548564, 0.37180881471149774, 84596011622570.98]","[0.08624789879703297, 0.3731353857368407, 87612055227777.17]",-212.06848321046684,-286.7752710412354,-26.75377594763917,-26.970232255650323,-212.06848321046684,-286.7752710412354,2.8923344089360627e-33,False
5846,"[0.10121918821548564, 0.37180881471149774, 84596011622570.98]","[0.10178187671879252, 0.37805674404533857, 86097921026866.14]",-212.06848321046684,-212.00797664116183,-22.527480822484748,-22.47866988794194,-212.06848321046684,-212.00797664116183,1.1155164748935955,True
5847,"[0.10178187671879252, 0.37805674404533857, 86097921026866.14]","[0.09041152112393659, 0.3889983619457806, 85203293647051.84]",-212.00797664116183,-249.22119752151272,-22.767257902333107,-22.88329277592881,-212.00797664116183,-249.22119752151272,6.13917781568257e-17,False
5848,"[0.10178187671879252, 0.37805674404533857, 86097921026866.14]","[0.1059757040702503, 0.37087386864341493, 86197857168677.4]",-212.00797664116183,-215.1259213066202,-21.55259644827739,-21.505969531157934,-212.00797664116183,-215.1259213066202,0.046360023744285,False
5849,"[0.10178187671879252, 0.37805674404533857, 86097921026866.14]","[0.10045473642614271, 0.3664141232161446, 85120119439283.8]",-212.00797664116183,-212.18140943775975,-22.305123153853536,-22.38110035631392,-212.00797664116183,-212.18140943775975,0.7792604118441815,True
5850,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.08546705040030456, 0.38409021162185947, 83128946438990.73]",-212.18140943775975,-303.0510898969715,-25.816918773174944,-25.886996741788767,-212.18140943775975,-303.0510898969715,3.2015827341024265e-40,False
5851,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.09126101837433824, 0.3698995757897271, 84742046126733.5]",-212.18140943775975,-241.1053141155747,-21.669787936131666,-21.798144879719583,-212.18140943775975,-241.1053141155747,2.4141435524024357e-13,False
5852,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.07994541047111269, 0.35705097703474475, 86714017234142.84]",-212.18140943775975,-399.6249173931927,-25.085166330520433,-24.932397485835562,-212.18140943775975,-399.6249173931927,4.577891471708515e-82,False
5853,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.10883868463067223, 0.3889636073530549, 86902179641298.78]",-212.18140943775975,-219.36073592856522,-25.68076900983156,-25.64333178756003,-212.18140943775975,-219.36073592856522,0.0007912557887839842,False
5854,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.08980702470399063, 0.3750072202568679, 83576766606062.92]",-212.18140943775975,-253.1682770635921,-23.250738764194733,-23.36291717955887,-212.18140943775975,-253.1682770635921,1.4155039734931828e-18,False
